index,Player,Year of Birth,G,WS,Seasons,WS/Season,Time line adjusted,Career Value,Three Best Years,5 year Total WS,Total
3340,Aleksandar Djordjevic,1968.0,8.0,0.1,0.0975609756097561,1.025,16.8,0.01999200319872051,0.1,,
3341,Bubba Wells,1975.0,39.0,0.1,0.47560975609756095,0.2102564102564103,17.5,0.01999200319872051,0.1,,
3342,Rick Hughes,1974.0,21.0,0.1,0.25609756097560976,0.3904761904761905,17.4,0.01999200319872051,0.1,,
3343,Malcolm Thomas,1989.0,40.0,0.1,0.4878048780487805,0.20500000000000002,18.9,0.01999200319872051,0.10000000000000002,,
3344,Owen Wells,1951.0,33.0,0.1,0.4024390243902439,0.24848484848484848,15.1,0.01999200319872051,0.1,,
3345,Jameel Warney,1994.0,3.0,0.1,0.036585365853658534,2.733333333333334,19.4,0.01999200319872051,0.1,,
3346,Bud Acton,1942.0,23.0,0.1,0.2804878048780488,0.3565217391304348,14.2,0.01999200319872051,0.1,,
3347,Cozell McQueen,1962.0,3.0,0.1,0.036585365853658534,2.733333333333334,16.2,0.01999200319872051,0.1,,
3348,PJ Dozier,1997.0,8.0,0.1,0.0975609756097561,1.025,19.7,0.01999200319872051,0.05,,
3349,Brett Vroman,1956.0,11.0,0.1,0.13414634146341464,0.7454545454545455,15.6,0.01999200319872051,0.1,,
3350,Bob Santini,1936.0,4.0,0.1,0.04878048780487805,2.05,13.6,0.01999200319872051,0.1,,
3351,Jerome Dyson,1988.0,9.0,0.1,0.10975609756097561,0.9111111111111112,18.8,0.01999200319872051,0.1,,
3352,Malcolm Mackey,1971.0,22.0,0.1,0.2682926829268293,0.37272727272727274,17.1,0.01999200319872051,0.1,,
3353,Red Dehnert,1924.0,10.0,0.1,0.12195121951219512,0.8200000000000001,12.4,0.01999200319872051,0.1,,
3354,Jerome Robinson,1998.0,33.0,0.1,0.4024390243902439,0.24848484848484848,19.8,0.01999200319872051,0.1,,
